Name,Symbol,Market Cap,Price (USD),Circulating Supply,Volume (24h)	,Change (1h),Change (24h),Change (7d)
Bitcoin,BTC,"$309,985,886,217","$16,721.31","18,538,368 BTC","$29,819,305,124",0.37%,5.06%,9.89%
Ethereum,ETH,"$52,367,793,496",$461.58,"113,452,728 ETH","$11,049,711,552",0.08%,3.66%,3.93%
Tether,USDT,"$17,876,220,160",$1.00,"17,866,843,501 USDT *","$42,277,567,700",0.02%,0.02%,-0.02%
XRP,XRP,"$13,009,363,378",$0.287004,"45,328,155,123 XRP *","$3,914,327,030",1.55%,7.15%,14.73%
Chainlink,LINK,"$4,972,828,604",$12.67,"392,509,556 LINK *","$1,083,482,062",-0.22%,5.21%,1.17%
Litecoin,LTC,"$4,730,571,370",$71.79,"65,895,172 LTC","$4,914,951,130",0.95%,16.04%,21.58%
Bitcoin Cash,BCH,"$4,663,913,468",$251.10,"18,573,800 BCH","$2,662,930,275",0.45%,4.40%,-4.74%
Binance Coin,BNB,"$4,047,035,599",$28.03,"144,406,561 BNB *","$273,513,044",0.44%,1.47%,0.28%
Polkadot,DOT,"$3,976,927,659",$4.53,"878,434,064 DOT *","$419,183,692",-0.62%,2.99%,3.84%
Cardano,ADA,"$3,246,514,772",$0.104348,"31,112,484,646 ADA","$404,999,823",0.29%,2.66%,0.28%
Bitcoin SV,BSV,"$2,969,643,199",$159.90,"18,572,277 BSV","$1,044,350,148",0.09%,3.62%,0.11%
USD Coin,USDC,"$2,831,757,143",$0.999840,"2,832,211,251 USDC *","$498,666,175",-0.01%,-0.01%,-0.04%
EOS,EOS,"$2,419,843,833",$2.58,"937,818,738 EOS *","$1,695,131,264",0.27%,3.79%,3.28%
Monero,XMR,"$2,098,431,919",$118.16,"17,759,616 XMR","$642,303,807",-0.62%,2.89%,0.20%
Wrapped Bitcoin,WBTC,"$2,074,632,807","$16,695.86","124,260 WBTC *","$42,476,190",0.48%,5.23%,9.89%
TRON,TRX,"$1,838,444,410",$0.025655,"71,659,657,369 TRX *","$622,475,377",0.07%,1.38%,2.43%
Stellar,XLM,"$1,716,825,005",$0.082000,"20,936,884,521 XLM *","$143,920,967",0.56%,2.34%,3.00%
Tezos,XTZ,"$1,561,431,831",$2.08,"750,236,656 XTZ *","$165,163,267",-0.13%,3.05%,0.58%
Crypto.com Coin,CRO,"$1,435,010,036",$0.066081,"21,715,981,734 CRO *","$41,408,637",0.77%,-0.50%,-5.76%
UNUS SED LEO,LEO,"$1,256,702,072",$1.26,"999,498,893 LEO *","$11,561,784",0.84%,-0.88%,-2.00%
NEM,XEM,"$1,238,733,645",$0.137637,"8,999,999,999 XEM *","$29,413,970",0.86%,4.05%,12.00%
Neo,NEO,"$1,112,349,088",$15.77,"70,538,831 NEO *","$380,856,743",0.17%,3.61%,3.76%
Cosmos,ATOM,"$1,054,077,053",$5.12,"205,854,535 ATOM *","$150,955,571",-0.18%,3.85%,0.92%
Dai,DAI,"$1,012,866,971",$1.00,"1,010,924,926 DAI *","$86,810,625",0.04%,0.03%,-0.61%
Filecoin,FIL,"$992,166,239",$27.92,"35,537,924 FIL","$130,851,213",-0.02%,-2.00%,-12.55%
Aave,AAVE,"$850,746,063",$72.37,"11,755,659 AAVE *","$248,403,854",6.42%,13.60%,29.50%
Dash,DASH,"$801,719,249",$81.67,"9,816,336 DASH","$393,534,072",-0.46%,10.04%,20.93%
Uniswap,UNI,"$791,337,936",$3.60,"219,761,822 UNI *","$764,624,262",0.28%,-7.49%,33.90%
Huobi Token,HT,"$734,066,248",$3.58,"204,811,752 HT *","$75,860,723",-0.34%,-1.35%,-4.06%
VeChain,VET,"$727,432,980",$0.011310,"64,315,576,989 VET *","$87,417,499",0.28%,2.57%,2.96%
IOTA,MIOTA,"$712,944,162",$0.256498,"2,779,530,283 MIOTA *","$8,688,631",0.36%,2.99%,2.36%
Zcash,ZEC,"$691,703,453",$65.96,"10,487,344 ZEC","$353,502,387",2.53%,8.33%,12.83%
Binance USD,BUSD,"$653,136,005",$0.999900,"653,201,325 BUSD *","$506,342,447",-0.01%,0.01%,-0.01%
Ethereum Classic,ETC,"$621,205,715",$5.34,"116,313,299 ETC","$534,635,156",1.05%,7.32%,6.21%
THETA,THETA,"$619,116,846",$0.619117,"1,000,000,000 THETA *","$11,346,405",0.24%,2.55%,-1.47%
yearn.finance,YFI,"$556,542,882","$18,571.41","29,968 YFI *","$468,388,949",1.09%,7.38%,22.95%
Maker,MKR,"$523,543,424",$521.90,"1,003,154 MKR *","$38,546,170",-0.49%,1.74%,-0.05%
Compound,COMP,"$506,044,308",$121.87,"4,152,311 COMP *","$187,245,819",2.05%,0.61%,27.99%
Waves,WAVES,"$504,353,006",$4.87,"103,552,180 WAVES *","$113,130,466",0.25%,12.51%,36.49%
OMG Network,OMG,"$481,789,163",$3.44,"140,245,398 OMG *","$129,267,776",0.07%,4.33%,9.64%
Synthetix,SNX,"$468,628,108",$4.43,"105,806,154 SNX *","$69,594,111",0.32%,7.01%,7.34%
UMA,UMA,"$450,204,729",$8.12,"55,455,184 UMA *","$12,834,024",-0.06%,-2.64%,15.71%
Celsius,CEL,"$442,204,462",$1.85,"238,863,520 CEL *","$9,548,655",0.36%,-1.93%,-1.37%
Ontology,ONT,"$371,242,634",$0.476826,"778,570,209 ONT *","$83,074,878",0.45%,3.16%,3.51%
Dogecoin,DOGE,"$365,024,496",$0.002871,"127,127,504,620 DOGE","$49,808,757",-1.21%,3.62%,6.70%
FTX Token,FTT,"$350,596,049",$3.72,"94,346,958 FTT *","$2,423,707",0.47%,3.31%,5.69%
Kusama,KSM,"$303,072,713",$35.78,"8,470,098 KSM *","$25,533,752",-2.21%,0.61%,7.86%
Algorand,ALGO,"$302,626,863",$0.266620,"1,135,049,698 ALGO","$64,700,281",0.22%,3.77%,1.35%
Basic Attention Token,BAT,"$297,879,548",$0.199143,"1,495,810,562 BAT *","$82,122,425",0.40%,3.98%,3.84%
Ren,REN,"$290,496,552",$0.328418,"884,532,525 REN *","$46,146,644",0.49%,7.01%,5.44%
BitTorrent,BTT,"$290,038,226",$0.000293,"990,000,000,000 BTT *","$55,739,285",0.15%,0.65%,-0.21%
OKB,OKB,"$279,982,463",$4.67,"60,000,000 OKB *","$58,421,240",-0.47%,0.26%,1.20%
TrueUSD,TUSD,"$274,456,421",$0.999091,"274,706,046 TUSD *","$80,141,710",-0.03%,0.04%,0.05%
NEAR Protocol,NEAR,"$273,919,565",$0.876225,"312,613,107 NEAR *","$16,398,665",0.45%,8.37%,1.84%
0x,ZRX,"$267,726,123",$0.359877,"743,937,911 ZRX *","$32,892,992",-3.87%,3.11%,4.34%
HUSD,HUSD,"$265,561,883",$0.998692,"265,909,768 HUSD *","$40,087,438",-0.02%,0.03%,-0.10%
DigiByte,DGB,"$258,426,786",$0.018791,"13,752,433,908 DGB","$7,243,601",-0.80%,1.21%,-10.20%
HedgeTrade,HEDG,"$247,581,577",$0.729831,"339,231,468 HEDG *","$306,218",-3.54%,-1.87%,-9.62%
Paxos Standard,PAX,"$244,560,744",$0.998403,"244,951,954 PAX *","$106,939,957",0.06%,0.16%,0.02%
ABBC Coin,ABBC,"$230,294,091",$0.290935,"791,564,497 ABBC","$63,417,798",1.84%,-3.81%,6.96%
Decred,DCR,"$227,724,607",$18.58,"12,256,416 DCR","$8,293,466",1.49%,-6.79%,12.79%
Ocean Protocol,OCEAN,"$225,665,770",$0.545051,"414,026,837 OCEAN *","$17,011,882",0.59%,2.45%,1.81%
Zilliqa,ZIL,"$223,737,373",$0.021019,"10,644,283,356 ZIL","$28,490,689",0.37%,3.69%,10.50%
Celo,CELO,"$220,448,924",$1.77,"124,447,717 CELO *","$2,022,373",-0.04%,5.11%,11.92%
Energy Web Token,EWT,"$213,862,670",$7.11,"30,062,138 EWT *","$342,641",1.08%,0.11%,-5.91%
Loopring,LRC,"$212,820,366",$0.185710,"1,145,982,211 LRC *","$18,004,104",1.05%,5.27%,28.36%
SushiSwap,SUSHI,"$205,700,145",$1.35,"152,093,118 SUSHI *","$214,946,969",-0.01%,7.05%,124.22%
ICON,ICX,"$203,080,651",$0.354487,"572,885,758 ICX *","$18,053,971",-0.14%,3.68%,6.92%
Qtum,QTUM,"$200,790,185",$2.06,"97,396,468 QTUM *","$279,254,643",0.31%,4.10%,4.11%
Quant,QNT,"$198,897,469",$16.47,"12,072,738 QNT *","$4,682,647",0.79%,2.96%,24.78%
Hedera Hashgraph,HBAR,"$192,214,758",$0.031959,"6,014,452,477 HBAR *","$8,614,196",0.01%,3.21%,5.74%
